bid,tid,nid,fid,face_path,congruency,corrResp
1,1,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,2,Cruise,Cruise,../images/Cruise.jpg,congruent,b
1,3,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,4,Clooney,Damon,../images/Damon.jpg,incongruent,n
1,5,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,6,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,7,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,8,Damon,Damon,../images/Damon.jpg,congruent,n
1,9,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,10,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,11,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,12,Clooney,Cruise,../images/Cruise.jpg,incongruent,b
1,13,Cruise,Cruise,../images/Cruise.jpg,congruent,b
1,14,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,15,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,16,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,17,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,18,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,19,Cruise,Cruise,../images/Cruise.jpg,congruent,b
1,20,Damon,Cruise,../images/Cruise.jpg,incongruent,b
1,21,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,22,Clooney,Cruise,../images/Cruise.jpg,incongruent,b
1,23,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,24,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,25,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,26,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,27,Cruise,Damon,../images/Damon.jpg,incongruent,n
1,28,Clooney,Damon,../images/Damon.jpg,incongruent,n
1,29,Damon,Cruise,../images/Cruise.jpg,incongruent,b
1,30,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,31,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,32,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,33,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,34,Damon,Damon,../images/Damon.jpg,congruent,n
1,35,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,36,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,37,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,38,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,39,Cruise,Damon,../images/Damon.jpg,incongruent,n
1,40,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,41,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,42,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,43,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,44,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,45,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,46,Damon,Cruise,../images/Cruise.jpg,incongruent,b
1,47,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,48,Clooney,Damon,../images/Damon.jpg,incongruent,n
1,49,Cruise,Damon,../images/Damon.jpg,incongruent,n
1,50,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,51,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,52,Clooney,Cruise,../images/Cruise.jpg,incongruent,b
1,53,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,54,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,55,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,56,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,57,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,58,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,59,Damon,Damon,../images/Damon.jpg,congruent,n
1,60,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,61,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,62,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,63,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,64,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,65,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,66,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,67,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,68,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,69,Damon,Clooney,../images/Clooney.jpg,incongruent,v
